국립공원,생물분류,종명,학명,분류명,조사위치,조사주소,경도,위도,조사일자,개체수
변산반도,관속식물류,Eranthis byunsanensis,byunsanensis,변산바람꽃,,전라북도 부안군 변산면 중계리98-1,126.5835,35.63125,2024-04-13,67
변산반도,관속식물류,Eranthis byunsanensis,byunsanensis,변산바람꽃,,전라북도 부안군 변산면 중계리98-1,126.5835,35.63125,2024-03-04,56
변산반도,관속식물류,Eranthis byunsanensis,byunsanensis,변산바람꽃,,전라북도 부안군 변산면 중계리617-6,126.5811111,35.64277778,2024-03-04,611
변산반도,관속식물류,Eranthis byunsanensis,byunsanensis,변산바람꽃,,전라북도 부안군 변산면 중계리161-2,126.5760556,35.63430556,2024-03-04,76
변산반도,관속식물류,Eranthis byunsanensis,byunsanensis,변산바람꽃,,전라북도 부안군 변산면 중계리617-6,126.5811111,35.64277778,2024-04-13,630
변산반도,관속식물류,Eranthis byunsanensis,byunsanensis,변산바람꽃,,전라북도 부안군 변산면 중계리161-2,126.5760556,35.63430556,2024-04-13,88
변산반도,포유류,Canis lupus familiaris,familiaris,개,비탐방로,가마소삼거리~중계교 일원,126.60598,35.65003,2024-01-05,2
변산반도,포유류,Canis lupus familiaris,familiaris,개,비탐방로,가마소삼거리~중계교 일원,126.60598,35.65003,2024-01-12,1
변산반도,포유류,Hydropotes inermis,inermis,고라니,비탐방로,가마소삼거리~중계교 일원,126.60598,35.65003,2024-01-04,1
변산반도,포유류,Hydropotes inermis,inermis,고라니,탐방로,내변산분소~와룡소 일원,126.60598,35.65003,2024-01-22,1
변산반도,포유류,Hydropotes inermis,inermis,고라니,탐방로,내변산분소~와룡소 일원,126.60598,35.65003,2024-01-21,1
변산반도,포유류,Hydropotes inermis,inermis,고라니,비탐방로,가마소삼거리~중계교 일원,126.60598,35.65003,2024-01-18,1
변산반도,포유류,Hydropotes inermis,inermis,고라니,비탐방로,가마소삼거리~중계교 일원,126.60598,35.65003,2024-01-18,1
변산반도,포유류,Hydropotes inermis,inermis,고라니,비탐방로,가마소삼거리~중계교 일원,126.60598,35.65003,2024-01-05,1
변산반도,포유류,Hydropotes inermis,inermis,고라니,비탐방로,가마소삼거리~중계교 일원,126.60598,35.65003,2024-01-15,1
변산반도,포유류,Hydropotes inermis,inermis,고라니,탐방로,내변산분소~와룡소 일원,126.60598,35.65003,2024-01-21,1
변산반도,포유류,Lepus coreanus,coreanus,멧토끼,비탐방로,가마소삼거리~중계교 일원,126.60598,35.65003,2024-01-12,1
변산반도,포유류,Lepus coreanus,coreanus,멧토끼,비탐방로,가마소삼거리~중계교 일원,126.60598,35.65003,2024-01-15,1
변산반도,포유류,Lepus coreanus,coreanus,멧토끼,비탐방로,가마소삼거리~중계교 일원,126.60598,35.65003,2024-01-15,1
변산반도,포유류,Lepus coreanus,coreanus,멧토끼,비탐방로,가마소삼거리~중계교 일원,126.60598,35.65003,2024-01-13,1
변산반도,포유류,Lepus coreanus,coreanus,멧토끼,비탐방로,가마소삼거리~중계교 일원,126.60598,35.65003,2024-01-07,1
변산반도,포유류,Lepus coreanus,coreanus,멧토끼,비탐방로,가마소삼거리~중계교 일원,126.60598,35.65003,2024-01-15,1
변산반도,포유류,Lepus coreanus,coreanus,멧토끼,비탐방로,가마소삼거리~중계교 일원,126.60598,35.65003,2024-01-13,1
변산반도,포유류,Nyctereutes procyonoides,procyonoides,너구리,비탐방로,가마소삼거리~중계교 일원,126.60598,35.65003,2024-01-20,2
변산반도,포유류,Nyctereutes procyonoides,procyonoides,너구리,탐방로,내변산분소~와룡소 일원,126.60598,35.65003,2024-01-22,2
변산반도,포유류,Sus scrofa,scrofa,멧돼지,비탐방로,가마소삼거리~중계교 일원,126.60598,35.65003,2024-01-05,1
속리산,관속식물류,Abeliophyllum distichum,distichum,미선나무,상수원지,속리산면 사내리,127.8369306,36.53991944,2024-03-25,15
